uid,score
20001,0.479908972979
20002,0.215860441327
20003,0.565742313862
20004,0.652324736118
20005,0.601803839207
20006,0.409632474184
20007,0.301728725433
20008,0.502763271332
20009,0.734654724598
20010,0.466535359621
20011,0.322985887527
20012,0.777994692326
20013,0.659757137299
20014,0.550818026066
20015,0.542237341404
20016,0.259125471115
20017,0.529937684536
20018,0.732202351093
20019,0.37071070075
20020,0.651279330254
20021,0.645195662975
20022,0.109172023833
20023,0.146018251777
20024,0.209338143468
20025,0.214969038963
20026,0.415880829096
20027,0.324535697699
20028,0.126130610704
20029,0.516194581985
20030,0.134960532188
20031,0.469857782125
20032,0.724410295486
20033,0.372864544392
20034,0.141278758645
20035,0.148077324033
20036,0.204511001706
20037,0.0959907844663
20038,0.213821485639
20039,0.455473273993
20040,0.462926208973
20041,0.525716841221
20042,0.516930580139
20043,0.398752957582
20044,0.355584204197
20045,0.348316460848
20046,0.472957134247
20047,0.518602609634
20048,0.53423255682
20049,0.195195809007
20050,0.42476028204
20051,0.553358912468
20052,0.473230361938
20053,0.452362686396
20054,0.545147836208
20055,0.199503093958
20056,0.414895802736
20057,0.75168710947
20058,0.576257705688
20059,0.448811858892
20060,0.287155628204
20061,0.504096150398
20062,0.45652833581
20063,0.564222097397
20064,0.161608815193
20065,0.232454404235
20066,0.42650449276
20067,0.562902450562
20068,0.158945962787
20069,0.351563692093
20070,0.335324347019
20071,0.115703761578
20072,0.208362266421
20073,0.298586457968
20074,0.3289321661
20075,0.336366146803
20076,0.384759277105
20077,0.457610189915
20078,0.385363698006
20079,0.6029535532
20080,0.711837410927
20081,0.448566973209
20082,0.402482420206
20083,0.66919118166
20084,0.601395010948
20085,0.588817596436
20086,0.572071731091
20087,0.564498603344
20088,0.654463768005
20089,0.80463963747
20090,0.644094884396
20091,0.86344408989
20092,0.364635169506
20093,0.31112036109
20094,0.689297139645
20095,0.528629302979
20096,0.560638606548
20097,0.408940702677
20098,0.2775362432
20099,0.613352358341
20100,0.345807343721
20101,0.116741664708
20102,0.350635796785
20103,0.677265107632
20104,0.402999699116
20105,0.142618596554
20106,0.503191888332
20107,0.448754817247
20108,0.633051216602
20109,0.403529167175
20110,0.243756309152
20111,0.361987352371
20112,0.505211234093
20113,0.32811152935
20114,0.212493464351
20115,0.0795269012451
20116,0.664624452591
20117,0.211324900389
20118,0.187677294016
20119,0.198026940227
20120,0.347150653601
20121,0.157658368349
20122,0.652339994907
20123,0.358814120293
20124,0.337439119816
20125,0.297219246626
20126,0.629693865776
20127,0.781248152256
20128,0.165736854076
20129,0.638164818287
20130,0.503436088562
20131,0.710529923439
20132,0.439108073711
20133,0.629135131836
20134,0.701485157013
20135,0.167752057314
20136,0.506104230881
